Time, Sample
2022-09-17T13:50:03.869542Z, 6400
2022-09-17T13:50:03.894542Z, 4606
2022-09-17T13:50:03.919542Z, 5132
2022-09-17T13:50:03.944542Z, 6163
2022-09-17T13:50:03.969542Z, 4749
2022-09-17T13:50:03.994542Z, 6481
2022-09-17T13:50:04.019542Z, 5597
2022-09-17T13:50:04.044542Z, 6138
2022-09-17T13:50:04.069542Z, 7735
2022-09-17T13:50:04.094542Z, 4877
2022-09-17T13:50:04.119542Z, 7308
2022-09-17T13:50:04.144542Z, 7172
2022-09-17T13:50:04.169542Z, 4871
2022-09-17T13:50:04.194542Z, 8085
2022-09-17T13:50:04.219542Z, 7220
2022-09-17T13:50:04.244542Z, 7268
2022-09-17T13:50:04.269542Z, 7075
2022-09-17T13:50:04.294542Z, 4391
2022-09-17T13:50:04.319542Z, 7151
2022-09-17T13:50:04.344542Z, 7542
2022-09-17T13:50:04.369542Z, 6775
2022-09-17T13:50:04.394542Z, 7457
2022-09-17T13:50:04.419542Z, 5402
2022-09-17T13:50:04.444542Z, 7137
2022-09-17T13:50:04.469542Z, 7365
2022-09-17T13:50:04.494542Z, 5513
2022-09-17T13:50:04.519542Z, 7487
2022-09-17T13:50:04.544542Z, 7149
2022-09-17T13:50:04.569542Z, 6899
2022-09-17T13:50:04.594542Z, 8101
2022-09-17T13:50:04.619542Z, 7031
2022-09-17T13:50:04.644542Z, 6519
2022-09-17T13:50:04.669542Z, 7046
2022-09-17T13:50:04.694542Z, 7383
2022-09-17T13:50:04.719542Z, 8223
2022-09-17T13:50:04.744542Z, 7057
2022-09-17T13:50:04.769542Z, 5501
2022-09-17T13:50:04.794542Z, 6803
2022-09-17T13:50:04.819542Z, 7626
2022-09-17T13:50:04.844542Z, 7398
2022-09-17T13:50:04.869542Z, 6662
2022-09-17T13:50:04.894542Z, 6487
2022-09-17T13:50:04.919542Z, 7068
2022-09-17T13:50:04.944542Z, 7069
2022-09-17T13:50:04.969542Z, 7697
2022-09-17T13:50:04.994542Z, 6585
2022-09-17T13:50:05.019542Z, 6698
2022-09-17T13:50:05.044542Z, 7288
2022-09-17T13:50:05.069542Z, 5220
2022-09-17T13:50:05.094542Z, 7716
2022-09-17T13:50:05.119542Z, 7209
2022-09-17T13:50:05.144542Z, 5419
2022-09-17T13:50:05.169542Z, 9173
2022-09-17T13:50:05.194542Z, 6381
2022-09-17T13:50:05.219542Z, 5293
2022-09-17T13:50:05.244542Z, 8086
2022-09-17T13:50:05.269542Z, 6508
2022-09-17T13:50:05.294542Z, 7485
2022-09-17T13:50:05.319542Z, 7248
2022-09-17T13:50:05.344542Z, 5889
2022-09-17T13:50:05.369542Z, 7180
2022-09-17T13:50:05.394542Z, 7007
2022-09-17T13:50:05.419542Z, 7408
2022-09-17T13:50:05.444542Z, 6921
2022-09-17T13:50:05.469542Z, 5569
2022-09-17T13:50:05.494542Z, 7142
2022-09-17T13:50:05.519542Z, 7151
2022-09-17T13:50:05.544542Z, 6080
2022-09-17T13:50:05.569542Z, 7591
2022-09-17T13:50:05.594542Z, 7716
2022-09-17T13:50:05.619542Z, 6067
2022-09-17T13:50:05.644542Z, 6868
2022-09-17T13:50:05.669542Z, 8229
2022-09-17T13:50:05.694542Z, 6959
2022-09-17T13:50:05.719542Z, 6620
2022-09-17T13:50:05.744542Z, 8357
2022-09-17T13:50:05.769542Z, 7753
2022-09-17T13:50:05.794542Z, 7070
2022-09-17T13:50:05.819542Z, 8264
2022-09-17T13:50:05.844542Z, 6727
2022-09-17T13:50:05.869542Z, 6029
2022-09-17T13:50:05.894542Z, 7063
2022-09-17T13:50:05.919542Z, 6268
2022-09-17T13:50:05.944542Z, 6793
2022-09-17T13:50:05.969542Z, 6206
2022-09-17T13:50:05.994542Z, 5799
2022-09-17T13:50:06.019542Z, 6811
2022-09-17T13:50:06.044542Z, 5898
2022-09-17T13:50:06.069542Z, 7048
2022-09-17T13:50:06.094542Z, 6477
2022-09-17T13:50:06.119542Z, 6075
2022-09-17T13:50:06.144542Z, 9140
2022-09-17T13:50:06.169542Z, 7314
2022-09-17T13:50:06.194542Z, 6182
2022-09-17T13:50:06.219542Z, 6949
2022-09-17T13:50:06.244542Z, 6693
2022-09-17T13:50:06.269542Z, 8736
2022-09-17T13:50:06.294542Z, 7418
2022-09-17T13:50:06.319542Z, 6493
2022-09-17T13:50:06.344542Z, 7652
2022-09-17T13:50:06.369542Z, 7609
2022-09-17T13:50:06.394542Z, 9485
